u_id	f_id	score	actual name	result name
877	/m/02jjq_	356.39563	D'Youville College	D'Youville College
878	/m/02f_21	388.352295	Daemen College	Daemen College
879	/m/01xysf	662.311646	Dakota State University	North Dakota State University
880	/m/05b5st	533.316956	Dakota Wesleyan University	Dakota Wesleyan University
881	/m/02dj3	749.190125	Dalhousie University	Dalhousie University
882	/m/04c80b	592.728088	Dallas Baptist University	Dallas Baptist University
883	/m/0b0xlq	461.392883	Dallas Christian College	Dallas Christian College
884	/m/084bcb	510.615173	Dalton State College	Dalton State College
885	/m/07xwnp	483.741058	Daniel Webster College	Daniel Webster College
886	/m/04dg6r	425.891724	Davenport University	Davenport University
887	/m/04lr6w	524.882019	Davis and Elkins College	Davis and Elkins College
888	/m/07dxch	320.616547	Davis College	Davis College
889	/m/09gnlt	565.846436	Daytona State College	Daytona State College
890	/m/04pqhy	390.568085	Dean College	Dean College
891	/m/0dkm5r	397.657379	Defiance College	Defiance College
892	/m/08mpw4	517.197083	Delaware Valley College	Delaware Valley College
893	/m/062gv8	665.93457	Delta State University	Delta State University
894	/m/04mkhx	341.444336	DEREE--The American College of Greece	American College of Greece
895	/m/0b1h9w	412.909485	DeSales University	DeSales University
896	/m/02gnjf	497.08902	DeVry University	DeVry University
897	/m/04hbs8	550.951599	Dickinson State University	Dickinson State University
898	/m/035f0z	442.880798	Dillard University	Dillard University
899	/m/040szz	383.382782	Divine Word College	Divine Word College
900	/m/05f33g	767.375488	Dixie State College of Utah	Dixie State College of Utah
901	/m/0d2tq7	444.20285	Doane College	Doane College
902	/m/02w_ztn	363.894928	Dominican College	Dominican College
903	/m/06w42j	415.040436	Dominican University	Dominican University
904	/m/04ldh9	553.079529	Dominican University of California	Dominican University of California
905	/m/05zj94x	304.58667	Donnelly College	Donnelly College
906	/m/05bnt0	413.677368	Dowling College	Dowling College
907	/m/02xrgl	458.258575	Drury University	Drury University
908	/m/02ndxb	447.407227	Dunwoody College of Technology	Dunwoody College of Technology
909	/m/06hjyr	571.517029	East Central University	East Central University
910	/m/08j56l	789.161804	East Stroudsburg University of Pennsylvania	East Stroudsburg University of Pennsylvania
911	/m/02_cx_	865.992676	East Tennessee State University	East Tennessee State University
912	/m/01vswj	651.59613	East Texas Baptist University	East Texas Baptist University
913	/m/0931dk	475.794922	East-West University	East West University
914	/m/02zkdz	701.016296	Eastern Illinois University	Eastern Illinois University
915	/m/04sfvr	551.470276	Eastern Mennonite University	Eastern Mennonite University
916	/m/068mvx	764.234497	Eastern New Mexico University	Eastern New Mexico University
917	/m/0705q7	583.087463	Eastern Oregon University	Eastern Oregon University
918	/m/0b__gfv	674.209106	Eastern University	Far Eastern University
919	/m/021_sb	700.89917	Eastern Washington University	Eastern Washington University
920	/m/046w9n	467.936829	Eckerd College	Eckerd College
921	/m/03d0khc	361.37381	ECPI University	ECPI University
922	/m/05tjs0	403.839539	Edgewood College	Edgewood College
923	/m/0562pb	630.076782	Edinboro University of Pennsylvania	Edinboro University of Pennsylvania
924	/m/01r4ld	525.698792	Edison State College	Thomas Edison State College
925	/m/092k9l	538.992554	Edward Waters College	Edward Waters College
926	/m/0279l1	694.166321	Elizabeth City State University	Elizabeth City State University
927	/m/04bxpc	448.755249	Elizabethtown College	Elizabethtown College
928	/m/049619	445.80191	Elmhurst College	Elmhurst College
929	/m/0309zk	423.931732	Elmira College	Elmira College
930	/m/03y5m9	573.51178	Elon University	Elon University
931	/m/047mw35	756.977051	Embry-Riddle Aeronautical University--Prescott	Embry-Riddle Aeronautical University, Prescott
932	/m/023znp	631.52002	Emerson College	Emerson College
933	/m/01k8q5	10	Emmanuel College - Franklin Springs, GA	Emmanuel College, Cambridge
934	/m/01tt9j	118.484039	Emmanuel College - Boston, MA	Emmanuel College, Boston
935	/m/08n3dt	427.288483	Emmaus Bible College	Emmaus Bible College
936	/m/02ryrw	598.507812	Emory and Henry College	Emory and Henry College
937	/m/026v92	654.413147	Emporia State University	Emporia State University
938	/m/07wk_d	434.65094	Endicott College	Endicott College
939	/m/039nkq	411.098511	Erskine College	Erskine College
940	/m/043smz	477.109344	Escuela de Artes Plasticas de Puerto Rico	School of Plastic Arts of Puerto Rico
941	/m/0342f3	428.346863	Eureka College	Eureka College
942	/m/052vz1	407.628876	Evangel University	Evangel University
943	/m/0clvjvm	328.164978	Everest College--Phoenix	Everest College-Phoenix
944	/m/05b4lrs	319.849792	Everglades University	Everglades University
945	/m/037shf	431.36911	Excelsior College	Excelsior College
946	/m/04l6xb	578.869263	Fairmont State University	Fairmont State University
947	/m/08nrvy	824.869751	Faith Baptist Bible College and Theological Seminary	Faith Baptist Bible College and Theological Seminary
948	/m/02r5s2	169.118454	Farmingdale State College--SUNY	State University of New York at Farmingdale
949	/m/02lwv5	921.926575	Fashion Institute of Technology	Fashion Institute of Technology
950	/m/02ldg9	592.594604	Fayetteville State University	Fayetteville State University
951	/m/01r42j	375.525299	Felician College	Felician College
952	/m/01gc40	689.810852	Ferris State University	Ferris State University
953	/m/06_xxb	414.785583	Ferrum College	Ferrum College
954	/m/046l73	380.062988	Finlandia University	Finlandia University
955	/m/04b2nf	373.578613	Fisher College	Fisher College
956	/m/019_6d	502.240753	Fisk University	Fisk University
957	/m/038gl6	321.36557	Fitchburg State University	Fitchburg State College
958	/m/03276x	507.762054	Five Towns College	Five Towns College
959	/m/01np7l	446.560242	Flagler College	Flagler College
960	/m/04c28s	456.079407	Florida Christian College	Florida Christian College
961	/m/0j_sncb	453.631012	Florida College	University of Florida
962	/m/03shjm	508.545563	Florida Memorial University	Florida Memorial University
963	/m/05_x6n	651.110962	Florida Southern College	Florida Southern College
964	/m/03wwjs	521.280762	Florida State College--Jacksonville	Florida Community College at Jacksonville
965	/m/04nrn8	383.481659	Fontbonne University	Fontbonne University
966	/m/05jm1m	741.655212	Fort Valley State University	Fort Valley State University
967	/m/04sqr6	329.078156	Framingham State University	Framingham State College
968	/m/03v493	556.680664	Francis Marion University	Francis Marion University
969	/m/0311kc	562.6297	Franciscan University of Steubenville	Franciscan University of Steubenville
970	/m/0h7gjn3	446.520477	Frank Lloyd Wright School of Architecture	Frank Lloyd Wright School of Architecture
971	/m/06rkfs	858.090088	Franklin and Marshall College	Franklin & Marshall College
972	/m/069jvk	428.842957	Franklin College	Franklin College
973	/m/0970c1	477.016205	Franklin College Switzerland	Franklin College Switzerland
974	/m/0984vx	408.089111	Franklin University	Franklin University
975	/m/01cbvr	804.26355	Franklin W. Olin College of Engineering	Franklin W. Olin College of Engineering
976	/m/02bpkm	547.429565	Freed-Hardeman University	Freed-Hardeman University
977	/m/044ldd	553.048706	Fresno Pacific University	Fresno Pacific University
978	/m/05bv94	415.794434	Friends University	Friends University
979	/m/02hjpn	627.309692	Frostburg State University	Frostburg State University
980	/m/01952x	519.991272	Gallaudet University	Gallaudet University
981	/m/02zr92	452.102417	Gannon University	Gannon University
982	/m/06w570	642.894958	Gardner-Webb University	Gardner-Webb University
983	/m/03f9l	459.974579	Geneva College	Geneva College
984	/m/01rbg7	499.058319	Georgetown College	Georgetown College
985	/m/04x2ct	743.009644	Georgia College & State University	Georgia College & State University
986	/m/08d73n	384.425049	Georgia Gwinnett College	Gwinnett University Center
987	/m/06snn4	399.16687	Georgia Regents University	Georgia Health Sciences University
988	/m/03c02c	725.692261	Georgia Southern University	Georgia Southern University
989	/m/08qjkr	638.010925	Georgia Southwestern State University	Georgia Southwestern State University
990	/m/01r44g	517.916199	Georgian Court University	Georgian Court University
991	/m/04l7wv	517.599915	Glenville State College	Glenville State College
992	/m/026xg3k	460.963623	God's Bible School and College	God's Bible School and College
993	/m/02m0sc	438.455078	Goddard College	Goddard College
994	/m/01rt5y	599.864075	Golden Gate University	Golden Gate University
995	/m/0649kb	512.758911	Goldey-Beacom College	Goldey-Beacom College
996		0	Goldfarb School of Nursing at Barnes-Jewish College	No result
997	/m/042m_h	522.281555	Gordon College	Gordon College
998	/m/06fmby	406.367584	Gordon State College	Gordon College
999	/m/037lzp	424.722992	Goshen College	Goshen College
1000	/m/04hxv3	476.37381	Goucher College	Goucher College
1001	/m/09kwc6	553.893372	Governors State University	Governors State University
1002	/m/0gf1ck	453.259155	Grace Bible College	Grace Bible College
1003	/m/09bxtf	332.771576	Grace College and Seminary	Grace College and Theological Seminary
1004	/m/07gp_k	697.044617	Grand Canyon University	Grand Canyon University
