u_id,f_id,score,actual name,result name,fuzzywuzzy ratio
1837,/m/05xb9z,549.528748,William Penn University,William Penn University,100
1838,/m/0bh0b7,516.062195,William Woods University,William Woods University,100
1839,/m/03_4zv,439.396912,Williams Baptist College,Williams Baptist College,100
1840,/m/02595g,429.125427,Wilmington College,Wilmington College,100
1841,/m/02594s,428.621582,Wilmington University,University of North Carolina at Wilmington,64
1842,/m/07z3d0,373.970551,Wilson College,Wilson College,100
1843,/m/06rpwt,446.521454,Wingate University,Wingate University,100
1844,/m/02xw2f,620.868713,Winona State University,Winona State University,100
1845,/m/02ldlt,843.231201,Winston-Salem State University,Winston-Salem State University,100
1846,/m/0bry04,485.223602,Wisconsin Lutheran College,Wisconsin Lutheran College,100
1847,/m/035yzw,775.936707,Wittenberg University,Martin Luther University of Halle-Wittenberg,71
1848,/m/09r9c_,391.357208,Woodbury University,Woodbury University,100
1849,/m/01q96q,683.482788,Worcester Polytechnic Institute,Worcester Polytechnic Institute,100
1850,/m/038jyb,567.742188,Worcester State University,Worcester State University,100
1851,/m/02bjh4,710.607178,Wright State University,Wright State University,100
1852,/m/05cfh4,552.607422,York College,"York College, City University of New York",100
1853,/m/04q8yl,552.000061,York College of Pennsylvania,York College of Pennsylvania,100
1854,/m/0bwfn,1336.168579,York University,New York University,100
1855,/m/02m4sc,681.412354,Youngstown State University,Youngstown State University,100
1856,/m/0clvlpg,0.387521,BMG,Yeshiva Toras Chaim Talmudical Seminary,0
1857,/m/01f1r4,31.036934,UCSB,"University of California, Santa Barbara",25
1859,/m/04zjf0,587.490112,Augusta State University,Augusta State University,100
1860,/m/033w82,246.4646,CSU Channel Islands,"California State University, Channel Islands",84
1861,,,Leadership Institute of Seattle Saybrook University,No result,44
1862,/m/04xf0n,634.58429,El Camino College,El Camino College,100
1863,/m/01vg13,30.828289,CUNY,Brooklyn College,25
1864,/m/02pptm,10,California State University- Sacremento,"California State University, Fresno",85
1865,/m/07f5b8,538.658691,American Intercontinental University,American InterContinental University,97
1866,/m/04118cq,30.896709,"Saitama University, JAPAN",Saitama Prefectural University,55
1867,,,Al Mustansiriyah Uni.,No result,33
1868,/m/052p70,337.235504,Vesalius College,Vesalius College,100
1869,/m/0279l1,688.709717,elizabeth city state university,Elizabeth City State University,87
1870,/m/07ccs,1694.220825,Texas A&M University--College Station,Texas A&M University,100
1871,/m/0vb3ly0,55.881664,Hanoi University of Law,Hanoi Law University,80
1872,/m/027jlk1,382.518768,Skyline College,Skyline College,100
1873,/m/02dq8f,607.842407,SUNY Albany,"University at Albany, The State University of New York",63
1874,/m/02nwb7,637.81665,Chulalongkorn University,Chulalongkorn University,100
1875,/m/02ldkf,817.781738,North Carolina a&t state university,North Carolina Agricultural and Technical State University,57
1876,/m/01t0dy,978.661194,Queens College,"Queens College, City University of New York",100
1877,/m/04vz9r,672.283508,Indiana University (South Bend),Indiana University South Bend,96
1878,/m/02gnjf,437.574158,DeVry Institute of Technology,DeVry University,62
1879,/m/0pz6q,1301.959351,Albert-Ludwigs-Universität Freiburg im Breisgau,Albert Ludwigs University of Freiburg,83
1880,,,"Univeristy of California, Merced",No result,33
1881,/m/08rk9b,205.941208,Atlantic Cape CC,Atlantic Cape Community College,93
1882,/m/02g0gf,843.582275,Baruch College,Baruch College,100
1883,/m/01wv24,1212.178589,Ateneo De Manila University,Ateneo de Manila University,96
1884,,,New York University Gallatin,No result,33
1885,/m/02gnjf,501.250488,Devry University,DeVry University,93
1886,/m/02kth6,1017.12677,long Island University,Long Island University,95
1887,/m/06hnmh,17.066118,MGIMO,Moscow State Institute of International Relations,20
1888,,,National College of Midwifery,No result,33
1889,/m/01x3x1,883.517029,embry riddle aeronautical,Embry-Riddle Aeronautical University,84
1890,/m/04hgpt,1848.868286,Pennsylvania State University ,Pennsylvania State University,100
1891,/m/06t0hd,316.531708,Saint Petersburg College,St. Petersburg College,93
1892,/m/03kygh,437.273163,"University of Pune, India",University of Pune,100
1893,/m/02d_zc,1433.908325,Colorado state university,Colorado State University,92
1894,/m/03m3d1,624.131836,Polytechnic University of Puerto Rico,Polytechnic University of Puerto Rico,100
1895,/m/0clw9pr,245.415359,Wolford College,Wolford College,100
1896,/m/01x0jp,181.297531,St.Edwards University,St. Edward's University,90
1897,/m/0bx8bl,404.917419,American Military University,American Military University,100
1898,/m/02r2wpr,356.148499,Ashworth College,Ashworth College,100
1899,/m/02zd2b,629.270386,Western Illinois ,Western Illinois University,100
1900,/m/01y20v,793.156311,Wheaton College,Wheaton College,100
1901,,,"JKUAT, Kenya",No result,23
1902,/m/0lyjf,1387.242798,University of miami,University of Miami,94
1903,/m/02gnjf,43.695118,DeVry,DeVry University,100
1904,/m/052nd,972.243347,mcgill university,McGill University,82
1905,/m/02jyr8,35.18256,UAB,University of Alabama at Birmingham,33
1906,/m/0cfv1,688.722717,Michigan technological university,Michigan Technological University,93
1907,/m/04lbnf,597.070923,West Virginia University at Parkersburg,West Virginia University at Parkersburg,100
1908,/m/04rwx,2663.137207,Massachusetts Institute of Technology ,Massachusetts Institute of Technology,100
1909,/m/02hg14,743.471802,University of wisconsin-Superior,University of Wisconsin-Superior,96
1910,/m/0vkl2,1659.414795,School of Oriental and African Studies - University of London,"SOAS, University of London",80
1911,,,Keller Scholl of management,No result,22
1912,/m/02gnjf,43.695118,Devry,DeVry University,80
1913,,,West wood college,No result,33
1914,/m/0c_5g9,525.559448,COLORADO TECHNICAL UNIVERSITY,Colorado Technical University,17
1915,/m/03kygh,555.132996,University of Pune,University of Pune,100
1916,/m/0gn9_3,583.288696,Chicago School of Professional Psychology,Chicago School of Professional Psychology,100
1917,/m/025v3k,1783.583862, university of Minnesota,University of Minnesota,95
1918,/m/045hc2,676.170105, Gustavus Adolphus College,Gustavus Adolphus College,100
1919,/m/03mbw11,626.56958,Arizona School of Dentistry and Oral Health,Arizona School of Dentistry and Oral Health,100
1920,/m/03gsyj,908.542908,University of Michigan--Dearborn,University of Michigan-Dearborn,96
1921,/m/02hwww,500.383698,Mumbai University,University of Mumbai,58
1922,/m/01g6l8,250.378342,"University of Helsinki, Finland",University of Helsinki,100
1923,/m/05mxkp,483.586609,Bryant university ,Bryant University,94
1924,/m/0bx8pn,1967.532104,University of North Carolina,University of North Carolina at Chapel Hill,100
1925,/m/0gl5_,1310.927368,Boston university,Boston University,94
1926,/m/09shcp,498.660034,Eastern Florida State,Eastern Florida State College,100
1927,/m/024818,680.750427,University of Illinois-Springfield,University of Illinois at Springfield,88
1928,/m/03nsp_5,478.095551,Saint Anthony College of Nursing ,Saint Anthony College of Nursing,100
1929,/m/061s54,1047.667847,Miami dade college,Miami Dade College,88
1930,/m/03np_7,1105.131958,University of Texas at Arlington,University of Texas at Arlington,100
1931,/m/02htx3,777.473083,university of maryland eastern shore,University of Maryland Eastern Shore,88
1932,,,Some Shit School,No result,33
1933,/m/03csvtg,562.520813,University of Leeds Business School,University of Leeds Business School,100
1934,/m/05rm__,584.696472,University of Texas at Tyler,University of Texas at Tyler,100
1935,/m/0dz693,352.906586,Cleary University ,Cleary University,100
1936,/m/04my63,187.963898,Université Panthéon-Assas (Paris II),Pantheon-Assas University,64
1937,/m/07vhb,796.984192,UC Santa Cruz,"University of California, Santa Cruz",84
1938,/m/01xvlc,622.96344,Loughborough University,Loughborough University,100
1939,/m/0hsb3,561.062012,The London School of Economics & Science,London School of Economics and Political Science,72
1940,/m/0hsb3,1998.204346,The London School of Economics & Political Science,London School of Economics and Political Science,95
1941,/m/01ny2p,277.415344,Maharishi International University,Maharishi University of Management,58
1942,/m/02q8_2v,195.022614,"National Institute of Technology, Trichy, India",NIT Trichy,70
1943,,,University of Masschusetts Amherst,No result,44
1944,/m/0clvlzg,641.815613,Full Sail University,Full Sail University,100
1945,/m/046vm,493.066071,Jadavpur University,Jadavpur University,100
1946,/m/0trv,1745.980103,Arizona state university,Arizona State University,91
1947,/m/04chyn,1228.132202,University of the West Indies,University of the West Indies,100
1948,/m/01pj48,703.175354,University of Auckland,University of Auckland,100
1949,/m/022lly,810.933167,ball state university,Ball State University,85
1950,/m/03kwls,660.254456,Yonsei University,Yonsei University,100
1951,/m/024818,680.750427,University of Illinois-- Springfield,University of Illinois at Springfield,91
1952,/m/02f4s3,1475.655396,Southern Illinois University carbondale,Southern Illinois University Carbondale,97
1953,/m/02hwww,626.458862,University of Mumbai,University of Mumbai,100
1954,/m/0cnnk1,55.887085,"Monash University, Melbourne - Australia",Monash University Law Faculty,65
1955,,,"KBP Satara,India",No result,22
1956,/m/02h659,548.603577,Rollins college,Rollins College,93
1957,/m/02hwww,626.458862,University Of Mumbai,University of Mumbai,95
1958,/m/0bjqh,13.665864,saic,School of the Art Institute of Chicago,50
1959,/m/01yx1b,2665.103271,University of Wisconsin - Madison,University of Wisconsin-Madison,93
1960,/m/050xpd,572.637146,Delhi University,University of Delhi,62
1961,/m/0187n1,820.35083,Missouri university of science and technology,Missouri University of Science and Technology,93
1962,/m/06v_pw,30.998045,PFeiffer,Pfeiffer University,87
1963,/m/01x0jp,655.543884,St. Edwards University,St. Edward's University,95
1964,,,Keller Grad School of Management,No result,22
1965,,,Academy of Economic Studies Romania,No result,22
1966,/m/01p896,720.769714,Binghamton University,Binghamton University,100
1967,/m/01ptt7,1161.15625,University of kentucky,University of Kentucky,95
1968,/m/01ptt7,1161.15625,University of Kentucky,University of Kentucky,100
1969,/m/015q1n,1441.882446,university of kansas,University of Kansas,90
1970,/m/026m3y,1012.801208,Queen Mary University of London,"Queen Mary, University of London",96
1971,/m/016c9h,1185.112915,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,100
1972,/m/02p9xn,401.287964,Montana Tech,Montana Tech of The University of Montana,100
1973,/m/0c4wbc,65.161743,Roseman Health Sciences,Roseman University of Health Sciences,73
1974,/m/07vk2,978.962158,University of Sydney,University of Sydney,100
1975,/m/04hgpt,1365.569336,Penn state,Pennsylvania State University,60
1976,/m/03ww_5,590.489929,Diablo Valley College,Diablo Valley College,100
1977,/m/01xk7r,697.700623,Art Institute of San Francisco,San Francisco Art Institute,65
1978,/m/013807,1044.092529,San Francisco state,San Francisco State University,94
1979,/m/01wdj_,1002.10437,Auburn university ,Auburn University,94
1980,/m/016c9h,36.423458,IIT,Indian Institute of Technology Bombay,33
