upstart_id	freebase_id	confidence
214	/m/06pwq	1.7209
215	/m/07tds	1.6534
216	/m/017j69	1.5772
217	/m/02bqy	1.4726
218	/m/0lfgr	1.4585
219	/m/04rwx	1.7619
220	/m/01w5m	1.7326
221	/m/0g2jl	1.7011
222	/m/07wrz	1.6461
223	/m/03ksy	1.6819
224	/m/05zl0	1.6218
225	/m/08815	1.6549
226	/m/02sjgpq	1.6613
227	/m/02s62q	1.5608
228	/m/03lcv	1.4407
229	/m/017_3h	1.3927
230	/m/086xm	1.4325
231	/m/01q8hj	1.4777
232	/m/01n4w_	1.4788
233	/m/012fvq	1.4516
234	/m/036__q	1.4733
235	/m/0gdm1	1.4351
236	/m/01p7x7	1.5806
237	/m/0qlnr	1.4095
238	/m/03hdz8	1.4448
239	/m/0f1nl	1.6267
240	/m/0k9wp	1.6787
241	/m/02pdhz	1.4122
242	/m/01ymvk	1.5037
243	/m/0gm4v	1.5141
244	/m/04gg2j	1.5055
245	/m/016wyn	1.4022
246	/m/027ybp	1.7837
247	/m/015y3j	1.4469
249	/m/01k2wn	1.4384
250	/m/02rg_4	1.4105
251	/m/0172jm	1.4003
252	/m/019c57	1.4039
253	/m/01dq5z	1.4504
254	/m/0418d0	1.4604
255	/m/02gnh0	1.6013
256	/m/07ccs	1.6593
257	/m/02h30z	1.443
258	/m/02hft3	1.394
259	/m/01c333	1.4228
260	/m/07w0v	1.7169
261	/m/05q2c	1.4095
262	/m/02gkxp	1.457
263	/m/07t90	1.6724
264	/m/01j_5k	1.4318
265	/m/021996	1.6045
266	/m/016w7b	1.3904
267	/m/0g8rj	1.6282
268	/m/01fy81	1.34
269	/m/03k7dn	1.3873
270	/m/01r3w7	1.5104
271	/m/0ks67	1.6037
272	/m/05qqf4	1.4134
273	/m/017v71	1.4152
274	/m/03bnd9	1.421
276	/m/01qd_r	1.6906
277	/m/01jq34	1.6434
278	/m/01d4ry	1.4387
279	/m/011xy1	1.6172
280	/m/01x3x1	1.5878
281	/m/028fb0	1.435
282	/m/03tp8v	1.4104
284	/m/020ym6	1.5242
285	/m/018t8f	1.4653
286	/m/01b1mj	1.3949
287	/m/01y20v	1.3265
288	/m/02km0m	1.4418
289	/m/01jszm	1.4149
290	/m/0533q6	1.4331
291	/m/01rkgb	1.3809
292	/m/01ljpm	1.4351
293	/m/022xml	1.4075
294	/m/02vlcx6	1.369
295	/m/04tgb	1.3564
296	/m/019n9w	1.4043
297	/m/01wdj_	1.5193
298	/m/02897w	1.3859
299	/m/01vcs0	1.3632
300	/m/01p896	1.3829
301	/m/06bw5	1.4096
302	/m/017y6l	1.4487
303	/m/02yr1q	1.4555
304	/m/01h1m8	1.4414
305	/m/01pl14	1.5554
306	/m/04_c85	1.3593
307	/m/057wlm	1.3744
308	/m/03hpkp	1.5059
309	/m/021w0_	1.7157
310	/m/025rcc	1.4266
311	/m/05mv4	1.4917
312	/m/0ks67	0.5124
313	/m/02zcnq	1.6164
314	/m/0438f	1.4826
315	/m/02p9xn	1.4787
316	/m/01ztq_	1.6246
317	/m/01trj2	1.4353
318	/m/045hc2	1.4404
319	/m/01vs5c	1.6203
320	/m/02k0pn	1.5676
321	/m/0jkhr	1.6532
322	/m/03lpld	1.3631
323	/m/0160nk	1.5244
324	/m/02dq8f	1.522
325	/m/03y5ky	1.4083
326	/m/046lcl	1.3812
327	/m/01rc6f	1.5741
328	/m/04cnng	1.463
329	/m/02hp6b	1.4091
330	/m/05mxkp	1.3776
331	/m/01rgn3	1.3869
332	/m/08815	1.4733
333	/m/01r46p	1.3916
334	/m/06blg9	1.3765
335	/m/0321m8	1.5258
336	/m/01cf5	1.4549
337	/m/01848s	1.4631
338	/m/01qgr3	1.6432
339	/m/03fgm	1.403
340	/m/02rv1w	1.6549
341	/m/0k__z	1.654
342	/m/01r4c_	1.4309
343	/m/02h7qr	1.4096
344	/m/02l424	1.4815
345	/m/02k0gt	1.3774
346	/m/0bx8pn	1.8041
347	/m/02dqw8	1.3861
348	/m/03xp2d	1.3756
349	/m/02dg2q	1.3677
350	/m/06jk5_	1.424
351	/m/05krk	1.4721
352	/m/05zl0	1.6637
353	/m/03jc1t	1.4708
354	/m/0trv	1.6616
356	/m/07t90	1.4754
357	/m/01b_hz	1.4952
358	/m/0187nd	1.6283
359	/m/01r490	1.3654
360	/m/031vm7	1.5024
361	/m/019dwp	1.6491
362	/m/02hdln	1.4479
363	/m/0271vt	1.43
364	/m/02kbtf	1.4527
365	/m/03l6bs	1.3796
366	/m/013807	1.5652
367	/m/02tcv_	1.423
368	/m/01qwb5	1.4047
369	/m/02grjf	1.383
370	/m/02x9g_	1.6233
371	/m/02pptm	1.6613
372	/m/039ccc	1.3378
373	/m/021_r8	1.4575
374	/m/01gc1n	1.5863
375	/m/0148s7	1.3519
376	/m/01pdgp	1.4605
377	/m/035f9h	1.4263
378	/m/01r3vh	1.393
379	/m/03cz83	1.378
380	/m/039swv	1.3693
381	/m/01xysf	1.5274
382	/m/02p29q	1.3781
383	/m/02jztz	1.6167
384	/m/01q_z_	1.4552
385	/m/01r45j	1.3919
386	/m/027b43	1.4774
387	/m/01ytlh	1.3673
388	/m/02hdt4	1.5247
389	/m/037p46	1.3759
390	/m/06xp1z	1.4227
391	/m/02rmk7	1.36
392	/m/02hjcq	1.4704
393	/m/02m8rk	1.2842
394	/m/02szcs	1.3661
395	/m/03h_qt	1.3975
396	/m/02qytn	1.4011
397	/m/01g4c1	1.3401
398	/m/02gnmp	1.6555
399	/m/02482c	1.6171
400	/m/01ft27	1.3742
401	/m/02gtf_	1.3622
402	/m/0c0lfs	1.4066
403	/m/02x9cv	1.5622
404	/m/023541	1.3792
405	/m/02hdrq	1.4997
406	/m/04_zf1	1.4339
407	/m/0187m6	1.5012
408	/m/0kf7h	1.482
409	/m/038czx	1.3885
410	/m/014m86	1.3845
411	/m/02hsfj	1.4697
412	/m/01_r9k	1.3996
413	/m/08slqd	1.1647
414	/m/035ktt	1.5017
415	/m/01vs3p	1.601
416	/m/02brtj	1.4375
417	/m/0hd7j	1.5672
418	/m/039l1r	1.4658
419	/m/02zccd	1.5164
420	/m/02m6__	1.2727
421	/m/02lvvt	1.2632
422	/m/0fcps	1.3713
423	/m/022fj_	1.5289
424	/m/02hkrz	1.445
425	/m/02qdk1	1.1302
426	/m/03cxzh	1.3665
427	/m/023zxl	1.4552
428	/m/030_7d	1.3919
429	/m/033w8f	1.5611
430	/m/01r49t	1.5263
431	/m/021x6t	1.5291
432	/m/030klw	1.5244
433	/m/030w19	1.3778
434	/m/0cbg_1	1.4961
435	/m/02k5ct	1.3038
436	/m/03hdnd	1.4497
437	/m/0g3crz	1.3535
438	/m/027ydt	1.4562
439	/m/01r47h	1.4687
440	/m/02c6zl	1.3706
441	/m/05jm__	1.5296
442	/m/01_j57	1.4462
443	/m/037q2p	1.5038
444	/m/0lwyk	1.4939
445	/m/033wbb	1.5059
446	/m/045cnw	1.3882
447	/m/02rl14	1.4304
448	/m/01b_8n	1.4751
449	/m/079rtz	1.3434
450	/m/054tfy	1.2961
451	/m/035dnq	1.3837
452	/m/02sn03	1.4532
