42,/m/06b_fm,40.010639,Andrews University,Andrews University,55,,,
871,/m/030rlw,10,CUNY--Medgar Evers College,Medgar Evers College,56,TRUE,,
1534,/m/050vch,10,"St. Joseph's College - Standish, ME",Saint Joseph's College of Maine,56,TRUE,,
1634,/m/043p59,35.982895,Universidad Adventista de las Antillas,Antillean Adventist University,56,,,
134,/m/01l8t8,45.192928,Stony Brook University--SUNY,State University of New York at Stony Brook,56,,,
1380,/m/085w68,10.416602,Pennsylvania State University--Harrisburg,Penn State Harrisburg,57,TRUE,,
817,/m/0b4tr_,10.511568,College of Mount St. Vincent,College of Mount Saint Vincent,57,TRUE,,
413,/m/08slqd,14.163725,Rivier University,Rivier College,57,TRUE,,
540,/m/02vs6r,14.172537,Clarke University,Clarke College,57,TRUE,,
1172,/m/0cfvxn,14.969322,Malone University,Malone College,57,TRUE,,
478,/m/03fpc4,15.555009,Husson University,Husson College,57,TRUE,,
501,/m/02k597,17.76923,SUNY--Fredonia,State University of New York at Fredonia,57,TRUE,,
852,/m/0cqk70,18.030304,Corban University,Corban College,57,TRUE,,
1277,/m/02qn7vj,19.509302,Mount Washington College,Hesser College,57,TRUE,RENAMED,
998,/m/06fmby,28.69334,Gordon State College,Gordon College,57,,,
1875,/m/02ldkf,47.106888,North Carolina a&t state university,North Carolina Agricultural and Technical State University,57,,,
1941,/m/01ny2p,19.451582,Maharishi International University,Maharishi University of Management,58,TRUE,,
1921,/m/02hwww,23.273418,Mumbai University,University of Mumbai,58,TRUE,,
1761,/m/04s15p,29.543531,Urbana University,Urbana University,58,,,
819,/m/0cfrl8,46.01263,College of Our Lady of the Elms,Elms College,58,,,
477,/m/02k58k,9.352587,College at Brockport--SUNY,State University of New York at Brockport,60,TRUE,,
1158,/m/07yn3x,13.8159,Lourdes University,Lourdes College,60,TRUE,,
1278,/m/07yyt9,17.099253,Multnomah University,Multnomah Bible College and Biblical Seminary,60,TRUE,,
1340,/m/04cz4r,20.848326,Oakwood University,Oakwood College,60,TRUE,,
1572,/m/02m990,29.848122,SUNY College--Old Westbury,State University of New York at Old Westbury,60,,,
401,/m/02gtf_,30.148989,SUNY--New Paltz,State University of New York at New Paltz,60,,,
4,/m/02ldkf,47.106888,North Carolina A&T State University,North Carolina Agricultural and Technical State University,60,,,
1975,/m/04hgpt,52.919392,Penn state,Pennsylvania State University,60,,,
1264,/m/02r5r1,19.567175,Morrisville State College,State University of New York at Morrisville,61,TRUE,,
1999,/m/07my0b,20.298923,Pontificia Universidad Javeriana,Pontifical Xavierian University,61,TRUE,,
987,/m/06snn4,24.951496,Georgia Regents University,Georgia Health Sciences University,61,TRUE,RENAMED,
1027,/m/0pmcz,41.306488,Heidelberg University,Ruprecht Karl University of Heidelberg,61,,,
869,/m/01f9__,10,CUNY--John Jay College of Criminal Justice,John Jay College of Criminal Justice,62,TRUE,,
680,/m/01b1n6,14.382834,Belhaven University,Belhaven College,62,TRUE,,
1148,/m/03bcdd,22.138998,LIU Post,Long Island University C.W. Post Campus,62,TRUE,,
1878,/m/02gnjf,25.983572,DeVry Institute of Technology,DeVry University,62,,,
1960,/m/050xpd,26.317558,Delhi University,University of Delhi,62,,,
1618,/m/04f4tn,31.092859,"Trinity University - Washington, DC",Trinity Washington University,62,,,
2015,/m/02lvvt,19.712133,SUNY Oswego,State University of New York at Oswego,63,TRUE,,
1873,/m/02dq8f,29.84811,SUNY Albany,"University at Albany, The State University of New York",63,,,
1521,/m/07w8t_,35.637131,St. Francis College,Saint Francis College,63,,,
1936,/m/04my63,10.974238,UniversitÌ© PanthÌ©on-Assas (Paris II),Pantheon-Assas University,64,TRUE,,
1414,/m/08_n4m,14.909458,Reinhardt University,Reinhardt College,64,TRUE,,
420,/m/02m6__,19.06217,SUNY--Plattsburgh,State University of New York at Plattsburgh,64,TRUE,,
1185,/m/07dfv8,20.646324,Mars Hill University,Mars Hill College,64,TRUE,,
1084,/m/067m9s,25.534739,Judson College,Judson College,64,,,
1824,/m/05wk7k,27.003239,"Westminster College - New Wilmington, PA",Westminster College,64,,,
1173,/m/0lbfv,38.74004,Manchester University,University of Manchester,64,,,
940,/m/043smz,42.691261,Escuela de Artes Plasticas de Puerto Rico,School of Plastic Arts of Puerto Rico,64,,,
138,/m/03qjqt9,60.532719,"Rutgers, the State University of New Jersey--New Brunswick",Rutgers - New Brunswick,64,,,
271,/m/03qjqt9,60.532719,"Rutgers, the State University of New Jersey--New Brunswick",Rutgers - New Brunswick,64,,,
1954,/m/013719,4.21768,"Monash University, Melbourne - Australia",Monash University,65,TRUE,,
777,/m/077wwj,21.528978,Central Penn College,Central Pennsylvania College,65,TRUE,,
1977,/m/01xk7r,38.958363,Art Institute of San Francisco,San Francisco Art Institute,65,,AMBIGUOUS,The Art Institute of California - /m/0gypj4
1699,/m/01qx6_,55.741405,University of Northwestern--St. Paul,Northwestern College,65,,,
1271,/m/07v8kl,18.171028,Mount Mary University,Mount Mary College,66,TRUE,,
491,/m/03j8fq,26.517687,Grand View University,Grand View College,66,,,
866,/m/02301,26.832096,CUNY--City College,City College of New York,66,,,
449,/m/079rtz,29.213659,Western State Colorado University,Western State College of Colorado,66,,,
874,/m/05cfh4,32.835388,CUNY--York College,"York College, City University of New York",66,,,
2010,,,Northeastern University & Eastern Nazarene College,No result,66,,REMOVE/AMBIGUOUS,
831,/m/0d17b8,16.066559,"Columbia College - Columbia, MO",Columbia College of Missouri,67,TRUE,,
1141,/m/026m8mg,18.512074,Lincoln Christian University,Lincoln Christian College and Seminary,67,TRUE,,
1823,/m/077m01,12.425445,"Westminster College - Fulton, MO","Westminster College, Missouri",68,TRUE,,
549,/m/06n8yt,19.803101,Mount Mercy University,Mount Mercy College,68,TRUE,,
1670,/m/04b_hp,14.986402,University of Jamestown,Jamestown College,69,TRUE,,
663,/m/05136r,32.793358,Baldwin Wallace University,Baldwin-Wallace College,69,,,
153,/m/01jswq,38.405811,Virginia Tech,Virginia Polytechnic Institute and State University,69,,,
933,/m/097lbl,10,"Emmanuel College - Franklin Springs, GA","Emmanuel College, Georgia",70,TRUE,,
1942,/m/02q8_2v,13.312832,"National Institute of Technology, Trichy, India",NIT Trichy,70,TRUE,,
1533,/m/03p1tb,16.035479,"St. Joseph's College - Rensselaer, IN","Saint Joseph's College, Indiana",70,TRUE,,
1129,/m/046l8v,28.850365,Lenoir-Rhyne University,Lenoir-Rhyne College,70,,,
873,/m/01t0dy,30.875576,CUNY--Queens College,"Queens College, City University of New York",70,,,
1422,/m/04510r,10,"Robert Morris University - Moon Township, PA",Robert Morris College,71,TRUE,,
1834,/m/05lkx8,22.290567,William Carey University,William Carey College,71,TRUE,,
1421,/m/04510r,24.387733,"Robert Morris University - Chicago, IL",Robert Morris College,71,TRUE,,
765,/m/04r3nv,30.330997,Carson-Newman University,Carson-Newman College,71,,,
820,/m/0ft4_4,38.851776,College of Saints John Fisher & Thomas More,College of Saint Thomas More,71,,,
1847,/m/0pw8h,41.274826,Wittenberg University,Wittenberg University,71,,,
1039,/m/02c9dj,51.455082,Holy Cross College,College of the Holy Cross,71,,,
1436,/m/074p4b,55.291008,"Rutgers, the State University of New Jersey--Camden",Rutgers-Camden,71,,,
1225,/m/025y7d,8.866663,Middle Georgia State College,Middle Georgia College,72,TRUE,,
1636,/m/03yyv7,12.989056,Universidad del Turabo,Universidad del Turabo,72,TRUE,,
1444,/m/02qxg5d,19.892199,Samuel Merritt University,Samuel Merritt College,72,TRUE,,
1939,/m/0hsb3,22.085049,The London School of Economics & Science,London School of Economics and Political Science,72,TRUE,,
605,/m/02p6pp,29.55685,Alderson Broaddus University,Alderson-Broaddus College,72,,,
112,/m/02cttt,30.037712,SUNY Buffalo State,"University at Buffalo, The State University of New York",72,,,
47,/m/074p0t,45.220604,"Rutgers, the State University of New Jersey--Newark",Rutgers-Newark,72,,,
312,/m/074p0t,45.220604,"Rutgers, the State University of New Jersey--Newark",Rutgers-Newark,72,,Wrong - Rutgers - Newark,/m/074p0t
1973,/m/0c4wbc,5.455215,Roseman Health Sciences,Roseman University of Health Sciences,73,TRUE,,
957,/m/038gl6,20.451265,Fitchburg State University,Fitchburg State College,73,TRUE,,
1822,/m/08p_p3,21.775547,Westfield State University,Westfield State College,73,TRUE,,
1514,/m/09w0fj,22.336842,St. Augustine's University,St. Augustine's College,73,TRUE,,
450,/m/054tfy,22.377602,Franklin Pierce University,Franklin Pierce College,73,TRUE,,
1690,/m/02_dpx,26.220097,University of Mount Union,Mount Union College,73,,,
1576,/m/02qfp1,31.589396,SUNY Institute of Technology--Utica/Rome,State University of New York Institute of Technology,73,,,
1285,/m/080m88z,40.728287,National University,National University,73,,,
842,/m/05t1hx,12.837835,"Concordia University - Seward, NE",Concordia University (Nebraska),74,TRUE,,
967,/m/04sqr6,21.233316,Framingham State University,Framingham State College,75,TRUE,,
1219,/m/02kvm_,26.883261,Metropolitan State University of Denver,Metropolitan State College of Denver,75,,,
